6239 = number of voxels
9 = number of ROIs
X-MNI,Y-MNI,Z-MNI,Lobe,Structure,Brodmann area,ROI-number [1...9] (if zero then not included in any ROI)
40,-5,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
40,0,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
40,5,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38,3
40,10,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
40,15,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
45,-10,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
45,-5,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
45,0,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
45,5,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
45,10,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
50,-10,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
50,-5,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
50,0,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
50,5,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
50,10,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-55,-15,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-55,-10,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-55,-5,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-50,-20,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-50,-15,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-50,-10,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-50,0,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-50,5,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-50,10,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-45,-20,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-45,-15,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-45,-10,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-45,-5,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-45,0,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-45,5,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-45,10,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-45,15,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-40,-20,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-40,-15,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-40,-10,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-40,-5,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-40,0,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-40,5,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-40,10,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-40,15,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-40,20,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-35,-15,-35,Limbic Lobe,Uncus,Brodmann area 20,9
-35,10,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-35,15,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-35,20,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-30,-15,-35,Limbic Lobe,Uncus,Brodmann area 20,9
-30,-10,-35,Limbic Lobe,Uncus,Brodmann area 20,9
-30,15,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-30,20,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-25,-10,-35,Limbic Lobe,Uncus,Brodmann area 28,9
-25,10,-35,Limbic Lobe,Uncus,Brodmann area 38,9
-25,15,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-25,20,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-20,-10,-35,Limbic Lobe,Uncus,Brodmann area 28,9
-20,-5,-35,Limbic Lobe,Uncus,Brodmann area 36,9
-20,0,-35,Limbic Lobe,Uncus,Brodmann area 36,9
-20,5,-35,Limbic Lobe,Uncus,Brodmann area 28,9
-20,10,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
20,-10,-35,Limbic Lobe,Uncus,Brodmann area 28,9
20,-5,-35,Limbic Lobe,Uncus,Brodmann area 36,9
20,0,-35,Limbic Lobe,Uncus,Brodmann area 36,9
20,5,-35,Limbic Lobe,Uncus,Brodmann area 28,9
25,-10,-35,Limbic Lobe,Uncus,Brodmann area 28,9
25,5,-35,Limbic Lobe,Uncus,Brodmann area 36,9
25,10,-35,Limbic Lobe,Uncus,Brodmann area 38,9
25,15,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
30,-15,-35,Limbic Lobe,Uncus,Brodmann area 20,9
30,-10,-35,Limbic Lobe,Uncus,Brodmann area 20,9
30,15,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
30,20,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
35,-15,-35,Limbic Lobe,Uncus,Brodmann area 20,9
35,10,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
35,20,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
40,-20,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
40,-15,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
40,-10,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
40,-5,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
40,0,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
40,5,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
40,10,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
40,15,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
40,20,-35,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
45,-20,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
45,-15,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
45,-10,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
45,-5,-35,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
45,0,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
45,5,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
45,10,-35,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
